"area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","circularity","cloud_fraction","b1_reflectance_mean","b7_reflectance_mean","b2_reflectance_mean","b1_reflectance_bdry_mean","b1_bdry_contrast","b2_reflectance_bdry_mean","b2_bdry_contrast","candidate","solidity"
601,330.5990016638935,674.0,83,38.21495178001986,342,141,317,104,21.91975990890427,0.20535321797844247,115.18986283848345,121.12811980033278,0.5691881026368287,0.0,0.82190293,0.013056681,0.7683076,0.6891446989754808,0.13275823176106094,0.6891446989754808,0.0791629272719252,false,0.8916913946587537
246,329.6260162601626,268.0,86,22.48281927683504,339,186,322,164,15.523908597764398,0.22833047169012508,72.18376618407356,174.7560975609756,0.5932884530564422,0.0,0.79128194,0.05021521,0.7533573,0.6433558136630451,0.14792612488981138,0.6433558136630451,0.11000147755857359,false,0.917910447761194
309,348.75080906148867,335.0,89,27.771049554552498,357,184,339,157,14.90624668040477,-0.31224955736548893,77.2193000900063,171.23624595469255,0.6512033434372496,0.02912621359223301,0.803086,0.06563872,0.7723101,0.6061660840046612,0.19691989879486882,0.6061660840046612,0.16614399413941228,true,0.9223880597014925
611,356.7397708674304,649.0,90,41.29939119051309,370,143,345,103,19.738535687107582,0.3333071474184916,121.05382386916237,122.49263502454991,0.5239550724314389,0.0,0.82226986,0.01655272,0.76215684,0.6535996625029808,0.1686701944267982,0.6535996625029808,0.10855718163611827,false,0.9414483821263482
199,351.2211055276382,212.0,91,20.308076802459812,360,204,345,187,13.336099700939837,-0.5199845794089353,59.698484809834994,194.61306532663318,0.7016755169943933,0.12060301507537688,0.7711315,0.060774483,0.7241107,0.5152769210639451,0.2558545944389846,0.5152769210639451,0.208833801477864,true,0.9386792452830188
232,358.7413793103448,298.0,92,30.51656888421056,372,106,346,87,13.233172240784006,1.165970403832889,85.91168824543142,95.50431034482759,0.39499658608920507,0.0,0.8303937,0.007876951,0.77368367,0.7566367563974746,0.07375691559196629,0.7566367563974746,0.017046910785447733,false,0.7785234899328859
193,381.04145077720204,200.0,98,17.62749787582481,390,87,372,71,14.613033521127809,1.1942698574574337,56.52691193458119,79.64248704663213,0.7590259985555509,0.0,0.8295858,0.007924424,0.7763302,0.7317410652204148,0.09784472541374045,0.7317410652204148,0.04458910779517966,false,0.965
133,4.969924812030075,134.0,1,17.5460165784319,11,51,1,35,10.08270603560278,-0.2842726447147657,44.970562748477136,42.142857142857146,0.8264276908392337,0.0,0.95114315,0.093498506,0.9471922,0.6755333781147045,0.2756097674465138,0.6755333781147045,0.27165881396293223,true,0.9925373134328358
652,18.33282208588957,822.0,4,39.52735164976108,38,213,1,185,26.541506790321783,-1.3482275205610768,164.61017305526642,198.06901840490798,0.3023737714110254,1.0,0.9673065,0.62623626,0.97007954,0.8808041881771246,0.08650230653570501,0.8808041881771246,0.08927535302923528,false,0.7931873479318735
213,7.666666666666667,227.0,5,23.359243783049642,17,252,1,230,12.63911450537371,0.6810895409492368,64.66295090390226,241.94366197183098,0.6401451033692024,1.0,0.9744089,0.6224242,0.9755688,0.8173137555175214,0.15709516906209897,0.8173137555175214,0.1582550158447833,false,0.9383259911894273
167,7.74251497005988,175.0,6,17.081201720318806,15,299,1,284,13.397405088183612,-0.6493716877033079,51.79898987322333,292.08383233532936,0.7821386614442091,0.0,0.95320016,0.089491636,0.95265996,0.7757371096586786,0.17746305179838318,0.7757371096586786,0.1769228549027838,false,0.9542857142857143
117,9.23076923076923,117.0,8,15.365171153261251,16,280,2,270,9.758366118837966,1.2545521650203262,40.384776310850235,275.0940170940171,0.9014888558893361,1.0,0.9870624,0.58126366,0.9870624,0.747103825136612,0.23995856948237604,0.747103825136612,0.23995856948237604,false,1.0
331,13.90332326283988,340.0,9,23.038892759262605,26,24,4,4,18.730978781138777,1.1175332031863017,71.35533905932738,13.546827794561933,0.8169301216587649,0.649546827794562,0.9502036,0.15426795,0.9446003,0.7339643903538429,0.2162392071917809,0.7339643903538429,0.210635893745736,true,0.9735294117647059
130,11.823076923076924,131.0,10,13.833718796035404,18,122,5,109,12.358531993307826,0.6795040945723977,43.21320343559643,114.84615384615384,0.8748232002936712,0.0,0.96084505,0.09390652,0.9547215,0.7672873883281124,0.19355766486784098,0.7672873883281124,0.18743412208219645,true,0.9923664122137404
126,25.865079365079364,128.0,14,15.734738149118837,33,267,18,256,10.424972235784876,1.1469686473636798,43.21320343559643,261.23809523809524,0.8479055633615584,1.0,0.9827578,0.58135706,0.9830691,0.810657193605684,0.1721006131722701,0.810657193605684,0.17241192823193197,false,0.984375
